2025-12-10 19:13:26 | INFO     | gui.threads.camera_thread:_connect:125 | [CAM001] Connected: 640x480
2025-12-10 19:13:27 | INFO     | attendance.attendance_service:record_attendance:127 | Attendance recorded: Alif (2024) - entry at 19:13:27
2025-12-10 19:13:27 | INFO     | gui.pages.camera_view_page:_record_attendance:436 | Attendance: Alif (2024) - entry
2025-12-10 19:13:48 | INFO     | core.face_database:remove_person:275 | Removed person: 2024
2025-12-10 19:13:48 | INFO     | core.face_database:save:133 | Saved face database: 0 persons
2025-12-10 19:14:27 | INFO     | gui.threads.camera_thread:stop:194 | [CAM001] Thread stopped
2025-12-10 19:14:27 | INFO     | gui.pages.camera_view_page:_remove_camera:362 | Removed camera: CAM001
2025-12-10 19:15:14 | INFO     | gui.threads.camera_thread:_connect:125 | [registration] Connected: 640x480
2025-12-10 19:16:09 | INFO     | attendance.attendance_service:create_person:260 | Created person: Alif (ID: 2025)
2025-12-10 19:16:09 | INFO     | core.face_database:add_person:180 | Added person: Alif (ID: 2025, FAISS: 2)
2025-12-10 19:16:09 | INFO     | attendance.attendance_service:link_face_embedding:330 | Linked embedding 2 to Alif
2025-12-10 19:16:09 | INFO     | core.face_database:save:133 | Saved face database: 1 persons
2025-12-10 19:16:15 | INFO     | gui.threads.camera_thread:stop:194 | [registration] Thread stopped
2025-12-10 19:16:53 | INFO     | gui.pages.camera_view_page:_add_camera:314 | Added camera: Main Webcam (CAM001)
2025-12-10 19:16:55 | INFO     | gui.threads.camera_thread:_connect:125 | [CAM001] Connected: 640x480
2025-12-10 19:16:55 | INFO     | attendance.attendance_service:record_attendance:127 | Attendance recorded: Alif (2025) - entry at 19:16:55
2025-12-10 19:16:55 | INFO     | gui.pages.camera_view_page:_record_attendance:436 | Attendance: Alif (2025) - entry
2025-12-10 19:17:48 | INFO     | gui.threads.camera_thread:stop:194 | [CAM001] Thread stopped
2025-12-10 19:17:48 | INFO     | gui.pages.camera_view_page:_remove_camera:362 | Removed camera: CAM001
2025-12-10 19:30:34 | INFO     | core.face_database:remove_person:275 | Removed person: 2025
2025-12-10 19:30:34 | INFO     | core.face_database:save:133 | Saved face database: 0 persons
2025-12-10 20:39:22 | INFO     | gui.threads.recognition_thread:run:151 | Recognition thread stopped
2025-12-10 20:39:22 | INFO     | core.face_database:save:133 | Saved face database: 0 persons
2025-12-10 20:39:22 | INFO     | __main__:closeEvent:639 | Application closed
2025-12-10 20:40:10 | INFO     | config.logging_config:setup_logging:53 | Logging configured - Level: INFO, File: True
2025-12-10 20:40:10 | INFO     | __main__:main:647 | ==================================================
2025-12-10 20:40:10 | INFO     | __main__:main:648 | Starting Face Re-ID Access Management System
2025-12-10 20:40:10 | INFO     | __main__:main:649 | ==================================================
2025-12-10 20:40:10 | INFO     | __main__:_init_core:182 | Initializing recognition pipeline...
2025-12-10 20:40:12 | INFO     | core.face_detector:_create_session:125 | Using provider: CUDAExecutionProvider
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:87 | Model has 9 outputs:
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:89 |   [0] 448: [12800, 1]
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:89 |   [1] 471: [3200, 1]
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:89 |   [2] 494: [800, 1]
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:89 |   [3] 451: [12800, 4]
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:89 |   [4] 474: [3200, 4]
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:89 |   [5] 497: [800, 4]
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:89 |   [6] 454: [12800, 10]
2025-12-10 20:40:12 | INFO     | core.face_detector:_analyze_outputs:89 |   [7] 477: [3200, 10]
